,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF
199407,0.3774,0.2738,-0.7964,1.0636,1.1634,2.2628,2.4823,1.694,2.5456,2.3509,3.686,1.6241,0.824,3.9207,3.584,2.1301,4.0592,3.3883,5.0489,3.9077,3.0449,2.9233,4.4093,3.9143,1.34,2.82,-1.76,0.57,0.28
199408,3.7046,3.9426,5.3284,2.5387,2.8409,9.5543,6.0153,4.2212,3.9693,4.7542,9.8619,5.1981,4.4313,3,5.1805,7.9129,4.7746,3.1032,3.0806,4.4901,5.2598,3.5449,1.8457,3.8475,3.4448,4.01,1.43,-2.5,0.37
199409,0.8902,1.9639,0.8585,2.7357,0.8558,-0.0324,0.7807,-1.2429,0.806,-1.474,0.8864,-0.7888,-2.022,-1.7023,-1.0563,-0.9259,-2.0586,-2.8181,-3.3694,-2.6202,-1.2236,-3.5498,-2.4707,-4.1061,-6.3744,-2.31,3.11,-1.84,0.37
199410,-0.7897,1.21,-0.588,1.2554,0.1226,1.6913,-0.0829,-0.0978,-0.534,-3.8288,3.1303,-0.4086,-0.2452,-0.7165,-2.6165,0.828,1.2511,1.1356,-0.9241,-1.9772,2.3974,2.343,3.4912,1.8199,2.6785,1.34,-2.26,-1.63,0.38
199411,-4.4879,-3.202,-2.6975,-3.2503,-3.0964,-2.933,-3.8413,-3.6864,-4.1863,-5.0853,-5.7082,-4.2434,-4.5797,-2.7758,-5.173,-3.801,-3.7857,-3.7616,-3.9559,-5.4026,-2.0871,-5.2425,-2.8014,-5.1475,-2.6249,-4.04,0.31,-0.73,0.37
199412,-2.7938,-0.9523,-0.291,0.0184,-0.1626,1.5994,2.0779,2.5177,2.5787,1.1818,1.8564,3.4793,1.9674,2.6903,4.7352,1.9509,1.1168,0.0238,1.0284,1.1917,1.5927,1.0624,1.0783,1.1109,0.061,0.86,0.19,-0.09,0.44
199501,1.1775,2.4333,3.0689,2.4023,2.32,-2.008,-0.2682,-0.1047,-0.4606,0.2267,-1.4772,-2.2863,-0.5181,0.0106,0.3236,0.2127,1.4059,0.8898,3.681,4.658,2.7367,1.7081,3.588,4.3581,6.7252,1.8,-3.44,2.51,0.42
199502,2.3244,3.9361,1.8057,2.2195,3.293,3.3403,4.3547,3.4862,3.0726,5.9161,5.4621,5.8888,4.1724,4.719,5.3114,4.2765,4.7684,5.0708,4.2083,4.8352,3.5399,4.6547,3.0685,3.578,7.4872,3.63,-0.66,1.09,0.4
199503,0.8161,1.4749,1.2459,1.0678,0.8019,4.4404,1.1467,2.6803,2.0309,2.06,3.605,2.538,1.856,0.1312,1.1513,3.1472,3.3665,2.7967,1.4375,0.6319,2.6921,3.9002,3.5668,0.4264,0.951,2.19,-0.21,-2.08,0.46
199504,1.6848,2.8177,3.3369,2.4768,3.8913,-0.1221,1.5532,3.4841,2.2489,3.4953,-0.068,2.483,1.9096,3.6351,2.0943,0.5775,1.6643,3.4151,0.9133,3.743,2.6804,3.2861,2.5412,2.3695,6.2731,2.11,-0.49,1.7,0.44
199505,1.568,2.3258,1.9259,1.4437,3.2097,1.0001,1.4463,1.6944,2.7336,2.6483,2.1169,-0.3192,1.9095,3.0647,2.9951,1.9844,1.3856,2.6381,3.6344,5.0562,3.8565,2.8814,4.4858,6.3567,6.1807,2.9,-2.52,2.27,0.54
199506,7.8662,6.8648,6.9737,5.0354,5.2818,10.0573,4.3678,4.623,4.0572,4.891,6.556,4.4362,3.1427,3.0883,2.0806,6.7941,3.05,2.7088,2.5199,2.8052,3.3619,2.6621,0.0637,1.5395,1.6935,2.72,3.15,-2.54,0.47
199507,7.1649,6.8279,5.1379,4.8003,4.9112,9.0415,6.5363,3.7547,5.2329,4.9665,8.2326,4.9814,4.6495,4.0526,4.6692,8.0753,4.595,4.1673,4.2632,3.8321,2.9617,4.1024,4.0516,2.8033,3.215,3.72,2.06,-1.59,0.45
199508,4.14,4.6027,4.3948,3.8411,4.208,0.7037,1.8065,1.1494,3.5948,3.4452,0.3401,2.1425,0.8371,4.1728,3.1193,0.0723,0.826,2.4664,2.2359,4.5299,0.0089,0.2692,0.1295,2.986,4.0701,0.55,1.36,2.81,0.47
199509,3.3015,2.9616,1.9978,2.0296,2.3901,1.9186,1.389,2.2157,2.9334,0.5462,2.2929,1.1623,1.515,2.2693,1.047,3.5247,2.0774,1.1561,2.0047,3.5726,5.4708,2.8166,3.4139,4.9283,6.9432,3.35,-2.2,-0.05,0.43
199510,-5.9845,-5.8328,-5.0052,-3.5875,-2.7921,-6.927,-6.7334,-5.5807,-4.997,-5.098,-2.6847,-4.0927,-2.6041,-3.0152,-2.7688,-1.8403,-4.3056,-2.5029,-0.8499,-1.1066,0.3172,0.6896,0.8025,-3.1515,-3.5706,-1.52,-3.8,-0.51,0.47
199511,1.7814,2.5431,0.6348,2.4497,1.5584,4.9016,5.035,3.8989,4.5369,6.0993,6.4901,3.5107,3.8859,4.7239,5.0558,4.2395,4.9767,3.6676,4.7214,4.7662,4.9408,1.9634,4.8563,5.1421,4.822,3.96,-1.11,0.58,0.42
199512,2.5309,2.9337,1.8547,1.3136,1.4369,2.9293,2.2132,3.4571,3.0703,3.3172,1.6447,1.8688,2.4745,3.0725,1.5051,-1.5667,0.6397,1.343,0.3059,0.3866,1.1532,0.9499,3.7155,0.8343,1.9375,1.03,0.72,0.18,0.49
199601,1.5706,0.3603,1.5676,1.6362,0.7332,0.0741,-1.2493,0.5155,-0.5505,0.5196,-2.0393,0.2763,-0.1653,0.8125,0.8376,1.6592,2.1318,1.7447,2.1926,1.0938,3.9915,2.4212,3.3842,2.8528,4.4594,2.26,-2.73,0.4,0.43
199602,3.8747,1.1185,3.9416,2.0657,3.3986,5.3519,5.7338,2.0452,1.7889,1.314,4.8664,4.0365,2.2855,2.6325,1.5743,5.449,1.0903,0.3721,1.6198,-0.7842,0.5824,2.9686,1.5905,0.8517,2.7065,1.33,1.78,-1.07,0.39
199603,2.7804,3.7855,3.1205,4.0455,2.0659,2.1772,3.2326,0.9539,1.8589,4.0817,3.1549,1.0472,3.2811,2.8907,2.1106,1.1941,0.859,2.9842,0.4949,2.3677,-0.112,2.4973,0.7881,2.0868,0.4734,0.73,1.51,0.36,0.39
199604,8.6297,9.8207,8.8668,5.8512,5.7596,10.1248,9.1921,2.623,4.3372,6.5267,5.7175,4.602,1.8279,0.8687,1.6989,6.4373,4.1533,4.1976,-0.1283,-1.8939,1.3717,3.3814,1.1447,-0.4282,-1.574,2.06,5.22,-4.05,0.46
199605,7.9456,6.7024,7.8777,6.5235,5.6359,6.2569,4.4693,4.3723,4.8648,7.6827,3.0116,3.8354,2.0304,1.3375,1.0407,2.7855,0.368,0.3509,1.3047,1.5881,3.8611,1.5705,0.6003,2.908,2.3337,2.36,3.18,-0.89,0.42
199606,-7.7816,-5.6438,-5.1701,-2.5761,-2.9208,-6.8976,-3.8157,-2.4527,-0.811,-5.6735,-7.1692,-2.9012,-1.2237,-0.4725,0.2028,-4.3718,-1.6178,-1.377,0.4575,2.2748,1.4345,-0.9814,0.1075,-0.7181,0.5331,-1.14,-3.99,2.38,0.4
199607,-15.1665,-9.394,-8.6917,-4.2533,-5.5431,-15.3263,-9.933,-7.8199,-5.7478,-5.3108,-11.3334,-7.5212,-6.0967,-4.9474,-6.2972,-9.068,-5.4769,-4.9604,-4.196,-4.7668,-4.9557,-4.7987,-2.9259,-3.29,-4.6259,-5.97,-4.31,5.14,0.45
199608,4.7233,5.108,3.7441,3.9508,3.8881,8.1057,5.808,4.1193,4.8991,4.7146,7.94,5.8044,6.5133,6.4614,4.4975,5.857,5.2323,5.8873,4.8241,4.1404,1.2276,2.8946,4.1382,2.0941,3.1252,2.77,2.46,-0.74,0.41
199609,2.2689,4.1218,1.8909,3.6286,2.6455,5.9681,3.0213,2.0711,3.8716,3.8764,7.9201,4.1701,3.3043,3.1439,1.6486,5.5193,5.3946,2.3871,4.3699,3.5201,7.2354,4.4361,3.6199,3.3423,5.0215,5.01,-0.98,-2.7,0.44
199610,-5.7297,-2.5777,-1.5034,0.8913,0.9371,-5.2514,-1.5972,0.2874,2.3533,0.8354,-6.758,-2.4692,0.3056,0.7726,1.7046,-3.8368,0.5831,2.3208,3.1141,3.4878,1.6375,1.1437,5.7523,5.4073,4.9678,0.86,-4.44,4.94,0.42
199611,-0.713,1.6666,3.2944,4.3608,4.3173,1.0416,3.9651,4.4094,4.6052,3.566,1.6204,5.9961,6.1409,7.3007,4.1838,5.5196,5.3867,5.6589,6.5536,8.1819,7.4979,7.2162,8.2867,8.5973,6.8,6.25,-4.05,1.39,0.41
199612,-0.7671,0.7495,2.4358,2.5751,1.6595,1.5598,2.1346,3.2905,3.2888,2.1822,-0.4722,0.6376,1.6789,0.6036,1.9676,-2.1521,0.506,-0.4881,0.103,1.7111,-2.0347,-0.5593,-2.7621,-2.4207,-1.3675,-1.7,3.17,1.32,0.46
199701,6.2403,5.0431,6.5857,5.0104,4.1296,4.1221,2.6048,1.9755,0.9212,1.8582,0.4087,4.0704,0.642,3.0233,4.9132,2.9704,3.2473,4.2293,1.9328,5.1072,7.7124,5.0184,5.1355,5.3004,3.8812,4.98,-1.93,-1.46,0.45
199702,-6.0548,-5.0771,-2.1502,0.6146,0.7018,-9.3644,-2.7926,-0.7083,0.8884,2.5688,-6.0761,-1.935,0.4254,1.5833,1.9711,-3.8961,1.5958,0.4293,2.3941,3.5706,0.8486,-1.714,0.1783,2.7427,5.1867,-0.49,-3.2,5.69,0.39
199703,-9.8901,-5.8818,-4.2205,-2.4877,-1.9596,-9.3648,-6.047,-2.7442,-2.6769,-1.2858,-7.9477,-3.6466,-3.3884,-2.6531,-2.1355,-7.5467,-3.8917,-3.2187,-4.5642,-3.8891,-5.4701,-0.7976,-3.9573,-5.7697,-5.5362,-5.02,-0.35,3.4,0.43
199704,-5.3665,-3.8737,-3.1143,-1.4423,-2.5136,-4.1548,-0.2801,-0.1789,2.0663,0.2467,-1.3173,2.5027,3.8653,3.177,0.955,2.2732,2.6023,2.142,3.2064,1.9784,7.9549,2.4344,6.2121,4.9274,1.437,4.04,-5.78,0.07,0.43
199705,12.7924,10.9485,11.1273,8.6993,8.0464,17.4035,15.107,9.7034,9.0805,8.5948,14.738,10.9518,7.8003,7.1163,7.6073,9.8829,7.7133,5.3301,7.2628,7.3048,6.1289,7.1425,5.9655,4.4838,6.6291,6.74,5.19,-4.12,0.49
199706,4.0624,4.801,5.7193,7.199,7.3105,2.2945,5.6938,6.3381,5.5916,6.902,4.198,3.5102,5.1689,4.9063,5.26,2.1054,4.0388,4.924,2.9678,4.6023,4.6645,2.5757,5.0672,4.4933,4.0479,4.1,1.24,1.59,0.37
199707,3.656,5.1325,6.4084,6.2754,5.8864,5.3096,5.1153,3.7961,5.0708,5.109,4.655,7.7116,6.6019,5.6016,5.644,6.8363,6.7453,6.5811,7.7558,5.8331,7.4557,9.073,10.8936,6.4053,8.1751,7.33,-2.73,0.29,0.43
199708,5.5137,4.8527,3.5038,3.4499,4.5409,3.6021,2.8527,3.9945,2.0566,3.411,2.262,2.6936,1.6284,0.047,0.957,0.3591,-0.2271,0.964,-1.0052,0.4976,-7.1476,-3.4443,-5.1169,-4.5025,-5.816,-4.15,7.31,1.2,0.41
199709,10.2424,9.9582,9.5536,7.7373,9.3275,7.5835,8.0386,7.0295,7.6353,7.4416,6.78,6.7836,7.4947,6.9741,7.0327,5.1848,5.2898,5.7096,5.9407,3.9849,4.8841,5.3993,6.5623,6.1925,7.3495,5.35,2.53,0.38,0.44
199710,-5.6472,-3.7426,-4.2526,-0.6675,-1.25,-6.0745,-4.8277,-4.5785,-3.015,-2.7838,-6.2964,-3.302,-4.0343,-2.556,-3.3773,-6.9605,-5.8037,-2.7226,-4.3789,-4.7723,-2.6285,-3.9675,-3.5498,-0.9986,-2.932,-3.8,-0.77,2.25,0.42
